[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:10 2025] >> testing accuracy: 0.5464
[Mon Aug 11 15:52:10 2025] >> testing accuracy: 0.5464
[Mon Aug 11 15:52:10 2025] >> testing accuracy: 0.5464
[Mon Aug 11 15:52:13 2025] >> testing accuracy: 0.5194
[Mon Aug 11 15:52:16 2025] >> testing accuracy: 0.4824
[Mon Aug 11 15:52:19 2025] >> testing accuracy: 0.4279
[Mon Aug 11 15:52:19 2025] >> testing accuracy: 0.4279
[Mon Aug 11 15:52:22 2025] >> testing accuracy: 0.4097
[Mon Aug 11 15:52:25 2025] >> testing accuracy: 0.3949
[Mon Aug 11 15:52:28 2025] >> testing accuracy: 0.3723
[Mon Aug 11 15:52:31 2025] >> testing accuracy: 0.2700
[Mon Aug 11 15:52:31 2025] >> testing accuracy: 0.2700
[Mon Aug 11 15:52:31 2025] >> testing accuracy: 0.2700
[Mon Aug 11 15:52:34 2025] >> testing accuracy: 0.2297
[Mon Aug 11 15:52:37 2025] >> testing accuracy: 0.2033
[Mon Aug 11 15:52:40 2025] >> testing accuracy: 0.1744
[Mon Aug 11 15:52:43 2025] >> testing accuracy: 0.1538
[Mon Aug 11 15:52:46 2025] >> testing accuracy: 0.1300
[Mon Aug 11 15:52:49 2025] >> testing accuracy: 0.1046
[Mon Aug 11 15:52:52 2025] >> testing accuracy: 0.0943
[Mon Aug 11 15:52:55 2025] >> testing accuracy: 0.0787
[Mon Aug 11 15:52:58 2025] >> testing accuracy: 0.0644
